fid,ELEV,x,y
34692,16.000000000000000,-58.3697182982,-34.6269653565
34692,16.000000000000000,-58.3699877928,-34.6270172347
34692,16.000000000000000,-58.3701416591,-34.6271284497
34692,16.000000000000000,-58.3702572874,-34.6271751394
34692,16.000000000000000,-58.3705267820,-34.6272659714
34692,16.000000000000000,-58.3707962765,-34.6273919171
34692,16.000000000000000,-58.3708044951,-34.6273979443
34692,16.000000000000000,-58.3710657711,-34.6276060466
34692,16.000000000000000,-58.3711888424,-34.6276674389
34692,16.000000000000000,-58.3710657711,-34.6277066376
34692,16.000000000000000,-58.3708110392,-34.6279369335
34692,16.000000000000000,-58.3707962765,-34.6279488694
34692,16.000000000000000,-58.3706080926,-34.6282064281
34692,16.000000000000000,-58.3706187319,-34.6284759227
34692,16.000000000000000,-58.3707841912,-34.6287454173
34692,16.000000000000000,-58.3707962765,-34.6287869757
34692,16.000000000000000,-58.3708924133,-34.6290149118
34692,16.000000000000000,-58.3707962765,-34.6290841312
34692,16.000000000000000,-58.3705267820,-34.6291320160
34692,16.000000000000000,-58.3702572874,-34.6290931534
34692,16.000000000000000,-58.3699877928,-34.6290166143
34692,16.000000000000000,-58.3699711510,-34.6290149118
34692,16.000000000000000,-58.3697182982,-34.6289743810
34692,16.000000000000000,-58.3695928880,-34.6290149118
34692,16.000000000000000,-58.3694562409,-34.6292844064
34692,16.000000000000000,-58.3696503386,-34.6295539010
34692,16.000000000000000,-58.3697182982,-34.6296233743
34692,16.000000000000000,-58.3699028591,-34.6298233956
34692,16.000000000000000,-58.3699877928,-34.6298714058
34692,16.000000000000000,-58.3702572874,-34.6300658834
34692,16.000000000000000,-58.3702884849,-34.6300928902
34692,16.000000000000000,-58.3702638411,-34.6303623848
34692,16.000000000000000,-58.3702572874,-34.6304213046
34692,16.000000000000000,-58.3702367119,-34.6306318794
34692,16.000000000000000,-58.3700149535,-34.6309013739
34692,16.000000000000000,-58.3699877928,-34.6309982477
34692,16.000000000000000,-58.3699256508,-34.6311708685
34692,16.000000000000000,-58.3699877928,-34.6312468203
34692,16.000000000000000,-58.3702572874,-34.6314011738
34692,16.000000000000000,-58.3705267820,-34.6314255104
34692,16.000000000000000,-58.3707962765,-34.6313943435
34692,16.000000000000000,-58.3710657711,-34.6314280371
34692,16.000000000000000,-58.3710843603,-34.6314403631
34692,16.000000000000000,-58.3711771888,-34.6317098577
34692,16.000000000000000,-58.3711741586,-34.6317810000
34684,15.000000000000000,-58.3667430000,-34.6256641558
34684,15.000000000000000,-58.3667538578,-34.6256626335
34684,15.000000000000000,-58.3669333606,-34.6255114822
34684,15.000000000000000,-58.3670233523,-34.6253610009
34684,15.000000000000000,-58.3670855623,-34.6252419876
34684,15.000000000000000,-58.3670849320,-34.6252340000
34684,15.000000000000000,-58.3695148716,-34.6252340000
34684,15.000000000000000,-58.3695128351,-34.6252419876
34684,15.000000000000000,-58.3694488036,-34.6253261773
34684,15.000000000000000,-58.3692070553,-34.6255114822
34684,15.000000000000000,-58.3691793090,-34.6255252166
34684,15.000000000000000,-58.3689098144,-34.6256836375
34684,15.000000000000000,-58.3687381166,-34.6257809768
34684,15.000000000000000,-58.3686403199,-34.6258852919
34684,15.000000000000000,-58.3685506878,-34.6260504714
34684,15.000000000000000,-58.3685144286,-34.6263199660
34684,15.000000000000000,-58.3685353099,-34.6265894606
34684,15.000000000000000,-58.3686403199,-34.6266833207
34684,15.000000000000000,-58.3689098144,-34.6268121986
34684,15.000000000000000,-58.3689500934,-34.6268589552
34684,15.000000000000000,-58.3691793090,-34.6270097255
34684,15.000000000000000,-58.3694488036,-34.6270462635
34684,15.000000000000000,-58.3697182982,-34.6270260863
34684,15.000000000000000,-58.3699877928,-34.6270848198
34684,15.000000000000000,-58.3700481550,-34.6271284497
34684,15.000000000000000,-58.3702572874,-34.6272128956
34684,15.000000000000000,-58.3705267820,-34.6273010935
34684,15.000000000000000,-58.3707304668,-34.6273979443
34684,15.000000000000000,-58.3707962765,-34.6274449973
34684,15.000000000000000,-58.3710657711,-34.6276660750
34684,15.000000000000000,-58.3710685053,-34.6276674389
34684,15.000000000000000,-58.3710657711,-34.6276683098
34684,15.000000000000000,-58.3707962765,-34.6279008190
34684,15.000000000000000,-58.3707628565,-34.6279369335
34684,15.000000000000000,-58.3705830483,-34.6282064281
34684,15.000000000000000,-58.3705887046,-34.6284759227
